"TipLabel","Brain_Size_mL","Body_Mass_g","Cooperative","Sociality","Territoriality","Diet","Diet_Simple","Foraging_Niche","Foraging_Niche_Simple","Migration","Dev_Mode","Clade","CladeFit"
"Struthio_camelus",40.23,111000,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.301570989,"Struthioniformes","Background"
"Casuarius_unappendiculatus",29.86,36600,"NonCooperative","2","weak","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Casuariiformes","Background"
"Rhea_americana",18.88,23000,"Cooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Rheiformes","Background"
"Casuarius_casuarius",36.35,44000,"NonCooperative","2","strong","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Casuariiformes","Background"
"Dromaius_novaehollandiae",28.88,34200,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Casuariiformes","Background"
"Meleagris_ocellata",5.84,5525,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.301570989,"Galliformes","Galliformes"
"Meleagris_gallopavo",8.21,6050,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.301570989,"Galliformes","Galliformes"
"Cygnus_olor",16.64,11800,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Chauna_torquata",7.07,4400,"NonCooperative","3","strong","AquaticPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",1.438408071,"Anseriformes","Anseriformes"
"Pavo_cristatus",6.86,4194,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.178939818,"Galliformes","Galliformes"
"Centrocercus_urophasianus",4,2208.8,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Cygnus_buccinator",20.29,11100,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Goura_victoria",5.43,2954,"NonCooperative","3","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",-1.077891071,"Columbiformes","Columbiformes"
"Chloephaga_picta",6.34,3105,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.322328449,"Anseriformes","Anseriformes"
"Tetrao_urogallus",6.14,2950,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Cygnus_cygnus",19.5,9350,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Otis_tarda",8.46,4000,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",1.438408071,"Otidiformes","Background"
"Coscoroba_coscoroba",9.16,4327,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Cygnus_atratus",12.15,5650,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","PartiallyMigratory",2.322328449,"Anseriformes","Anseriformes"
"Gallus_varius",3.12,1450,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Cereopsis_novaehollandiae",8.83,3980,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Podiceps_major",3.69,1646,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.438408071,"Podicipediformes","Podicipediformes"
"Tachyeres_pteneres",10.63,4725,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Crax_rubra",9.56,4133,"NonCooperative","3","weak","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Aptenodytes_patagonicus",27.9,11751,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.610111037,"Sphenisciformes","Background"
"Cygnus_columbianus",17.35,7285.9,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.311949719,"Anseriformes","Anseriformes"
"Crax_fasciolata",6.29,2600,"NonCooperative","3","weak","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",1.438408071,"Galliformes","Galliformes"
"Neotis_denhami",12.25,4827.8,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.438408071,"Otidiformes","Background"
"Pelecanus_onocrotalus",29.29,11450,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","PartiallyMigratory",-1.210694015,"Pelecaniformes","Pelecaniformes"
"Goura_scheepmakeri",5.75,2236.5,"NonCooperative","3","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",-1.077891071,"Columbiformes","Columbiformes"
"Ardeotis_australis",11.65,4450,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.438408071,"Otidiformes","Background"
"Goura_cristata",5.27,2000,"NonCooperative","3","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",-1.077891071,"Columbiformes","Columbiformes"
"Crossoptilon_crossoptilon",5.88,2137.5,"NonCooperative","3","strong","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Vultur_gryphus",31.56,11300,"NonCooperative","3","none","Ca","Vertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Cairina_moschata",7.35,2625,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",2.332707179,"Anseriformes","Anseriformes"
"Plectropterus_gambensis",12.13,4320,"NonCooperative","3","none","Generalist","Generalist","GroundForaging","GroundForaging","Migratory",2.332707179,"Anseriformes","Anseriformes"
"Tinamus_major",2.89,1028.5,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Tinamiformes","Background"
"Chloephaga_hybrida",7.61,2691.2,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Grus_rubicunda",17.69,6250.5,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",1.428029341,"Gruiformes","Gruiformes"
"Argusianus_argus",5.68,1994,"NonCooperative","1","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Harpia_harpyja",18.75,6550,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialSallying","AerialSallying","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Chloephaga_poliocephala",5.8,2024.5,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.322328449,"Anseriformes","Anseriformes"
"Dendragapus_obscurus",3.07,1058.5,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",2.270434798,"Galliformes","Galliformes"
"Tachyeres_leucocephalus",10.2,3500,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Aegypius_monachus",28.25,9625,"NonCooperative","3","none","Ca","Vertebrates","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Lophophorus_impejanus",6.2,2077.5,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Anhinga_melanogaster",4.56,1523.3,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-1.397511157,"Suliformes","Suliformes"
"Penelope_purpurascens",6.25,2060,"NonCooperative","3","weak","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",1.438408071,"Galliformes","Galliformes"
"Ephippiorhynchus_senegalensis",19.69,6378,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Ciconiiformes","Background"
"Numida_meleagris",4.08,1299,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.294834166,"Galliformes","Galliformes"
"Gavia_stellata",5.54,1758.5,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.38651442,"Gaviiformes","Background"
"Lophura_nycthemera",4.74,1490,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Gymnogyps_californianus",27.25,8450,"NonCooperative","3","none","Ca","Vertebrates","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Aechmophorus_occidentalis",3.71,1147.7,"NonCooperative","2","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.438408071,"Podicipediformes","Podicipediformes"
"Pygoscelis_papua",20.7,6400,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.260000953,"Sphenisciformes","Background"
"Tympanuchus_phasianellus",2.88,885,"NonCooperative","2","none","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Gavia_immer",10.1,3093.8,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.428029341,"Gaviiformes","Background"
"Tachyeres_patachonicus",9.08,2780,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Spheniscus_magellanicus",13.49,4129,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.767004861,"Sphenisciformes","Background"
"Chauna_chavaria",8.51,2603.5,"NonCooperative","3","strong","AquaticPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",1.438408071,"Anseriformes","Anseriformes"
"Gyps_africanus",18.25,5500,"NonCooperative","3","none","Ca","Vertebrates","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Gavia_pacifica",6.09,1830,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.428029341,"Gaviiformes","Background"
"Anser_albifrons",9.09,2722.2,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Migratory",2.311949719,"Anseriformes","Anseriformes"
"Grus_antigone",20.06,5958.5,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",1.428029341,"Gruiformes","Gruiformes"
"Porphyrio_hochstetteri",8.4,2470.5,"Cooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",1.438408071,"Gruiformes","Gruiformes"
"Phasianus_colchicus",3.86,1135,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Acryllium_vulturinum",4.55,1330,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.294834166,"Galliformes","Galliformes"
"Haliaeetus_albicilla",16.5,4793,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AerialScreaning","AerialScreaning","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Sarkidiornis_melanotos",6.99,2003.8,"NonCooperative","2","none","AquaticPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.322328449,"Anseriformes","Anseriformes"
"Gallirallus_rovianae",3.23,926.9,"NonCooperative","3","strong","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",1.438408071,"Gruiformes","Gruiformes"
"Ardea_herodias",8.88,2543.8,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Pelecaniformes","Pelecaniformes"
"Phoenicopterus_ruber",10.8,3065.8,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",0.324086148,"Phoenicopteriformes","Background"
"Syrmaticus_reevesii",4.38,1239,"NonCooperative","2","none","Seeds","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Eudromia_elegans",2.49,703.5,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Tinamiformes","Background"
"Tadorna_ferruginea",4.89,1368,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Alopochen_aegyptiaca",6.93,1935.8,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Balearica_pavonina",12.88,3590,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.438408071,"Gruiformes","Gruiformes"
"Podiceps_grisegena",4.04,1115,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.438408071,"Podicipediformes","Podicipediformes"
"Pygoscelis_antarcticus",16.07,4435,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.260000953,"Sphenisciformes","Background"
"Branta_canadensis",11.53,3178.8,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Migratory",2.311949719,"Anseriformes","Anseriformes"
"Grus_grus",19.96,5500,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Migratory",1.438408071,"Gruiformes","Gruiformes"
"Spheniscus_humboldti",15.98,4379,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.767004861,"Sphenisciformes","Background"
"Phasianus_versicolor",4.08,1100,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Guttera_pucherani",4.9,1315,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.294834166,"Galliformes","Galliformes"
"Sagittarius_serpentarius",15,4017,"NonCooperative","3","weak","Vertebrates","Vertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Balaeniceps_rex",22.38,5984,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",-1.158800364,"Pelecaniformes","Pelecaniformes"
"Pithecophaga_jefferyi",19.75,5232,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialSallying","AerialSallying","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Grus_canadensis",14.82,3901,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","Migratory",1.428029341,"Gruiformes","Gruiformes"
"Gypaetus_barbatus",22.25,5800,"Cooperative","3","weak","Ca","Vertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Anseranas_semipalmata",8.8,2283.4,"Cooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",1.428029341,"Anseriformes","Anseriformes"
"Lophura_swinhoii",4.25,1100,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Stephanoaetus_coronatus",14.06,3637.5,"NonCooperative","3","strong","Vertebrates","Vertebrates","AerialSallying","AerialSallying","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Tadorna_variegata",5.96,1539.8,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.311949719,"Anseriformes","Anseriformes"
"Jabiru_mycteria",23.5,6054.5,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Ciconiiformes","Background"
"Gallus_gallus",3.53,904,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Pipile_pipile",5.3,1350,"NonCooperative","3","strong","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",1.438408071,"Galliformes","Galliformes"
"Tragopan_temminckii",4.68,1184,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Phoenicopterus_chilensis",9.06,2277,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",0.324086148,"Phoenicopteriformes","Background"
"Diomedea_exulans",28.25,7046.7,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","PartiallyMigratory",-0.578863373,"Procellariiformes","Procellariiformes"
"Phoenicopterus_roseus",10.45,2600,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",0.324086148,"Phoenicopteriformes","Background"
"Branta_sandvicensis",8.23,2047.5,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Anseriformes","Anseriformes"
"Somateria_mollissima",8.32,2066.5,"NonCooperative","1","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Chen_caerulescens",10.68,2641,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Pygoscelis_adeliae",19.66,4850,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.260000953,"Sphenisciformes","Background"
"Phalacrocorax_carbo",10.45,2571.2,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-2.11011913,"Suliformes","Suliformes"
"Podiceps_nigricollis",1.69,414.3,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.438408071,"Podicipediformes","Podicipediformes"
"Polemaetus_bellicosus",16.5,4034,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialScreaning","AerialScreaning","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Tadorna_tadornoides",5.83,1425,"NonCooperative","3","weak","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Haliaeetus_leucocephalus",18.04,4374.2,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","ForagingGeneralist","ForagingGeneralist","Migratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Mergus_merganser",6.12,1470.5,"NonCooperative","2","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Chen_rossii",6.85,1636,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Migratory",2.280813528,"Anseriformes","Anseriformes"
"Pelecanus_conspicillatus",24.88,5850,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","Sedentary",-1.158800364,"Pelecaniformes","Pelecaniformes"
"Ciconia_ciconia",14.67,3448,"NonCooperative","3","none","Generalist","Generalist","GroundForaging","GroundForaging","Migratory",-0.578863373,"Ciconiiformes","Background"
"Pelecanus_erythrorhynchos",24.25,5649.5,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","PartiallyMigratory",-1.210694015,"Pelecaniformes","Pelecaniformes"
"Leptoptilos_dubius",32,7454,"NonCooperative","3","none","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Ciconiiformes","Background"
"Leptoptilos_crumeniferus",27.17,6325,"NonCooperative","3","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Ciconiiformes","Background"
"Aquila_chrysaetos",17.19,3996.2,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialScreaning","AerialScreaning","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Ardea_sumatrana",8.73,2024,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Pelecaniformes","Pelecaniformes"
"Melanitta_fusca",6.68,1545.6,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",2.332707179,"Anseriformes","Anseriformes"
"Rhynchotus_rufescens",3.66,844.5,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Tinamiformes","Background"
"Phoebastria_immutabilis",14.38,3310,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","PartiallyMigratory",-0.578863373,"Procellariiformes","Procellariiformes"
"Podiceps_cristatus",3.11,713.3,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Sedentary",1.438408071,"Podicipediformes","Podicipediformes"
"Ardea_cinerea",6.33,1443,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",-0.578863373,"Pelecaniformes","Pelecaniformes"
"Anas_strepera",3.9,889.5,"NonCooperative","2","none","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","PartiallyMigratory",2.311949719,"Anseriformes","Anseriformes"
"Haliaeetus_leucogaster",12.63,2865,"NonCooperative","3","strong","AquaticAnimals","AquaticAnimals","AerialScreaning","AerialScreaning","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Biziura_lobata",8.72,1974.5,"NonCooperative","1","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",1.428029341,"Anseriformes","Anseriformes"
"Haliaeetus_vocifer",12.19,2743.1,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AerialSallying","AerialSallying","Sedentary",-0.578863373,"Accipitriformes","Accipitriformes"
"Phalacrocorax_harrisi",13.58,3050,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Sedentary",-2.11011913,"Suliformes","Suliformes"
"Lophura_diardi",3.9,875,"NonCooperative","2","none","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Torgos_tracheliotos",27.88,6200,"NonCooperative","3","none","Ca","Vertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Columba_arquatrix",2.25,500,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-1.676494561,"Columbiformes","Columbiformes"
"Bonasa_umbellus",2.46,545.8,"NonCooperative","2","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Hemiphaga_novaeseelandiae",2.97,653,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-1.676494561,"Columbiformes","Columbiformes"
"Opisthocomus_hoazin",3.89,855,"Cooperative","3","weak","TerrestrialPlants","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",-0.921311393,"Opisthocomiformes","Background"
"Fulica_americana",2.93,642,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","ForagingGeneralist","ForagingGeneralist","PartiallyMigratory",1.428029341,"Gruiformes","Gruiformes"
"Tadorna_tadorna",5.33,1152,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Neochen_jubata",5.8,1250,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Apteryx_australis",10.86,2330,"Cooperative","3","strong","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",2.332707179,"Apterygiformes","Background"
"Lagopus_muta",2.5,535.5,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Aquila_audax",16.24,3466,"NonCooperative","3","weak","Vertebrates","Vertebrates","ForagingGeneralist","ForagingGeneralist","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Phalacrocorax_varius",9.21,1955.5,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Sedentary",-2.006493377,"Suliformes","Suliformes"
"Anas_smithii",3.77,798.4,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","PartiallyMigratory",2.311949719,"Anseriformes","Anseriformes"
"Mergus_serrator",4.83,1021.5,"NonCooperative","2","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",2.311949719,"Anseriformes","Anseriformes"
"Branta_bernicla",6.1,1279.3,"NonCooperative","3","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Migratory",2.311949719,"Anseriformes","Anseriformes"
"Ducula_pinon",3.78,792.5,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-1.676494561,"Columbiformes","Columbiformes"
"Geotrygon_violacea",1.05,220,"NonCooperative","3","weak","Seeds","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",-1.521055931,"Columbiformes","Columbiformes"
"Nothoprocta_ornata",2.85,596.3,"NonCooperative","2","strong","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Tinamiformes","Background"
"Lophonetta_specularioides",4.84,1010.3,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",2.332707179,"Anseriformes","Anseriformes"
"Netta_rufina",5.36,1118,"NonCooperative","2","none","AquaticPlants","PlantsSeeds","AquaticDive","Aquatic","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Larus_hyperboreus",7.47,1544.3,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Migratory",1.155304144,"Charadriiformes","Charadriiformes"
"Macronectes_giganteus",17.94,3697.5,"NonCooperative","3","none","Ca","Vertebrates","AquaticSurface","Aquatic","PartiallyMigratory",-0.578863373,"Procellariiformes","Procellariiformes"
"Stictonetta_naevosa",4.41,905.5,"NonCooperative","3","none","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","PartiallyMigratory",2.311949719,"Anseriformes","Anseriformes"
"Anas_platyrhynchos",5.44,1110.5,"NonCooperative","2","none","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","PartiallyMigratory",2.322328449,"Anseriformes","Anseriformes"
