"TipLabel","Brain_Size_mL","Body_Mass_g","Cooperative","Sociality","Territoriality","Diet","Diet_Simple","Foraging_Niche","Foraging_Niche_Simple","Migration","Dev_Mode","Clade","CladeFit"
"Cyanocorax_affinis",4.36,212,"Cooperative","3","strong","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.317370637,"Corvoidea","Corvoidea"
"Corvus_orru",8.91,433,"NonCooperative","3","weak","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.877751502,"Corvoidea","Corvoidea"
"Coracina_caledonica",2.99,145.3,"NonCooperative","3","weak","Invertebrates","Invertebrates","ArborealGleaning","Gleaning","Sedentary",-2.369183513,"Corvoidea","Corvoidea"
"Amazona_aestiva",8.24,400,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Urocolius_macrourus",1,48.4,"Cooperative","3","weak","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-1.738591793,"Coliiformes","Background"
"Anthochaera_carunculata",2.2,106.4,"NonCooperative","3","weak","Nectar","FruitNectar","ArborealGleaning","Gleaning","PartiallyMigratory",-2.048745476,"Meliphagoidea","Meliphagoidea"
"Harpactes_erythrocephalus",1.92,92.5,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.997647279,"Trogoniformes","Trogoniformes"
"Chalcopsitta_atra",5.4,260,"NonCooperative","3","none","Nectar","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.401874834,"Psittaciformes","Psittaciformes"
"Zoothera_lunulata",2.16,104,"NonCooperative","3","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",-2.13124518,"Muscicapoidea","Muscicapoidea"
"Ceuthmochares_aereus",1.33,63.9,"NonCooperative","3","strong","Invertebrates","Invertebrates","ArborealGleaning","Gleaning","Sedentary",-1.056154111,"Cuculiformes","Cuculiformes"
"Amazona_vittata",5.73,275,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Turdus_migratorius",1.64,78.5,"NonCooperative","2","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-1.841493969,"Muscicapoidea","Muscicapoidea"
"Cincloramphus_cruralis",1.12,53.6,"NonCooperative","2","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-1.996932599,"Sylvioidea","Sylvioidea"
"Formicarius_analis",1.3,62.2,"NonCooperative","3","strong","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",-2.524622143,"Furnariidae","Furnariidae"
"Phaenostictus_mcleannani",1.07,51.1,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.006493377,"Thamnophilidae","Thamnophilidae"
"Coracopsis_nigra",5.55,265,"Cooperative","2","weak","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-1.728307438,"Psittaciformes","Psittaciformes"
"Melanerpes_lewis",2.22,106,"NonCooperative","3","weak","Invertebrates","Invertebrates","ForagingGeneralist","ForagingGeneralist","Migratory",-2.990938033,"Piciformes","Piciformes"
"Acridotheres_tristis",2.48,118.3,"NonCooperative","3","none","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",-2.152371229,"Muscicapoidea","Muscicapoidea"
"Erythrogonys_cinctus",1.05,50,"NonCooperative","2","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",2.322328449,"Charadriiformes","Charadriiformes"
"Corvus_ossifragus",5.99,285,"Cooperative","3","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",-2.255996982,"Corvoidea","Corvoidea"
"Falco_tinnunculus",3.87,184,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialScreaning","AerialScreaning","Migratory",-0.889740633,"Falconiformes","Falconiformes"
"Charadrius_alexandrinus",0.89,42.3,"NonCooperative","2","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Charadriiformes","Charadriiformes"
"Orthopsittaca_manilata",7.83,372,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","PartiallyMigratory",-2.628247897,"Psittaciformes","Psittaciformes"
"Limicola_falcinellus",0.72,34.2,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Migratory",2.332707179,"Charadriiformes","Charadriiformes"
"Oceanites_oceanicus",0.71,33.7,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","AerialScreaning","AerialScreaning","Migratory",-0.682489127,"Procellariiformes","Procellariiformes"
"Entomyzon_cyanotis",2.23,105.6,"Cooperative","3","weak","Invertebrates","Invertebrates","ArborealGleaning","Gleaning","Sedentary",-1.737868216,"Meliphagoidea","Meliphagoidea"
"Philemon_argenticeps",1.7,80.5,"NonCooperative","3","weak","Nectar","FruitNectar","ArborealGleaning","Gleaning","PartiallyMigratory",-2.006493377,"Meliphagoidea","Meliphagoidea"
"Tockus_alboterminatus",4.75,224.5,"NonCooperative","3","strong","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.317370637,"Bucerotiformes","Bucerotiformes"
"Porzana_pusilla",0.75,35.4,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Migratory",1.438408071,"Gruiformes","Gruiformes"
